Text,,Price,Mileage,Certified?,Year,Package
"Used 2015 Toyota Prius Two     Save    $15,999   11,926 mi",Used 2015 Toyota Prius Two,15999,"11,926",0,2015,Two
"Used 2013 Toyota Prius Two     Save    $16,500   112,012 mi",Used 2013 Toyota Prius Two,16500,"112,012",0,2013,Two
"Certified 2015 Toyota Prius Two Model     Save    $20,000   12 mi",Certified 2015 Toyota Prius Two Model,20000,12,1,2015,Two
"Certified 2015 Toyota Prius Four     Save    $20,859   12,001 mi",Certified 2015 Toyota Prius Four,20859,"12,001",1,2015,Four
"Used 2015 Toyota Prius Five     Save    $19,995   12,005 mi",Used 2015 Toyota Prius Five,19995,"12,005",0,2015,Five
"Certified 2015 Toyota Prius Two Model     Save    $17,991   12,030 mi",Certified 2015 Toyota Prius Two Model,17991,"12,030",1,2015,Two
"Certified 2014 Toyota Prius Two Model     Save    $17,795   12,036 mi",Certified 2014 Toyota Prius Two Model,17795,"12,036",1,2014,Two
"Certified 2013 Toyota Prius Three Model     Save    $20,495   12,053 mi",Certified 2013 Toyota Prius Three Model,20495,"12,053",1,2013,Three
"Used 2014 Toyota Prius Three     Save    $18,884   12,060 mi",Used 2014 Toyota Prius Three,18884,"12,060",0,2014,Three
"Used 2013 Toyota Prius One     Save    $19,895   12,067 mi",Used 2013 Toyota Prius One,19895,"12,067",0,2013,One
"Used 2015 Toyota Prius Two     Save    $16,992   12,110 mi",Used 2015 Toyota Prius Two,16992,"12,110",0,2015,Two
"Used 2015 Toyota Prius Three     Save    $19,900   12,141 mi",Used 2015 Toyota Prius Three,19900,"12,141",0,2015,Three
"Used 2013 Toyota Prius One     Save    $16,498   12,203 mi",Used 2013 Toyota Prius One,16498,"12,203",0,2013,One
"Used 2014 Toyota Prius Three     Save    $16,900   12,316 mi",Used 2014 Toyota Prius Three,16900,"12,316",0,2014,Three
"Certified 2013 Toyota Prius Two     Save    $17,990   12,395 mi",Certified 2013 Toyota Prius Two,17990,"12,395",1,2013,Two
"Used 2014 Toyota Prius Two     Save    $15,990   12,414 mi",Used 2014 Toyota Prius Two,15990,"12,414",0,2014,Two
"Certified 2013 Toyota Prius Two     Save    $18,169   12,420 mi",Certified 2013 Toyota Prius Two,18169,"12,420",1,2013,Two
"Certified 2015 Toyota Prius Three     Save    $19,990   12,462 mi",Certified 2015 Toyota Prius Three,19990,"12,462",1,2015,Three
"Used 2015 Toyota Prius Three     Save    $19,950   12,513 mi",Used 2015 Toyota Prius Three,19950,"12,513",0,2015,Three
"Used 2015 Toyota Prius Five     Save    $19,675   12,513 mi",Used 2015 Toyota Prius Five,19675,"12,513",0,2015,Five
"Certified 2012 Toyota Prius Three Model     Save    $17,300   12,516 mi",Certified 2012 Toyota Prius Three Model,17300,"12,516",1,2012,Three
"Certified 2015 Toyota Prius Three Model     Save    $23,850   12,524 mi",Certified 2015 Toyota Prius Three Model,23850,"12,524",1,2015,Three
"Used 2013 Toyota Prius      Save    $19,000   12,546 mi",Used 2013 Toyota Prius,19000,"12,546",0,2013,
"Certified 2014 Toyota Prius Three Model     Save    $19,993   12,552 mi",Certified 2014 Toyota Prius Three Model,19993,"12,552",1,2014,Three
"Used 2013 Toyota Prius Two     Save    $16,550   12,577 mi",Used 2013 Toyota Prius Two,16550,"12,577",0,2013,Two
"Used 2015 Toyota Prius Four     Save    $19,700   12,585 mi",Used 2015 Toyota Prius Four,19700,"12,585",0,2015,Four
"Used 2015 Toyota Prius W/ BACK-UP CAMERA     Save    $20,995   12,653 mi",Used 2015 Toyota Prius W/ BACK-UP CAMERA,20995,"12,653",0,2015,W/
"Certified 2015 Toyota Prius Three Model     Save    $25,900   12,669 mi",Certified 2015 Toyota Prius Three Model,25900,"12,669",1,2015,Three
"Used 2013 Toyota Prius Three     Save    $18,195   12,672 mi",Used 2013 Toyota Prius Three,18195,"12,672",0,2013,Three
"Used 2011 Toyota Prius V     Save    $19,228   12,705 mi",Used 2011 Toyota Prius V,19228,"12,705",0,2011,V
"Used 2011 Toyota Prius V     Save    $19,228   12,705 mi",Used 2011 Toyota Prius V,19228,"12,705",0,2011,V
"Used 2011 Toyota Prius V     Save    $19,228   12,705 mi",Used 2011 Toyota Prius V,19228,"12,705",0,2011,V
"Used 2014 Toyota Prius Two     Save    $17,492   12,726 mi",Used 2014 Toyota Prius Two,17492,"12,726",0,2014,Two
"Used 2014 Toyota Prius Four     Save    $17,988   12,743 mi",Used 2014 Toyota Prius Four,17988,"12,743",0,2014,Four
"Used 2014 Toyota Prius Three     Save    $19,795   12,790 mi",Used 2014 Toyota Prius Three,19795,"12,790",0,2014,Three
"Certified 2015 Toyota Prius Four     Save    $22,987   12,801 mi",Certified 2015 Toyota Prius Four,22987,"12,801",1,2015,Four
"Used 2013 Toyota Prius Three     Save    $18,558   12,815 mi",Used 2013 Toyota Prius Three,18558,"12,815",0,2013,Three
"Certified 2014 Toyota Prius      Save    $19,887   12,822 mi",Certified 2014 Toyota Prius,19887,"12,822",1,2014,
"Certified 2014 Toyota Prius Two     Save    $18,990   12,859 mi",Certified 2014 Toyota Prius Two,18990,"12,859",1,2014,Two
"Used 2014 Toyota Prius Three     Save    $19,445   12,868 mi",Used 2014 Toyota Prius Three,19445,"12,868",0,2014,Three
"Certified 2015 Toyota Prius Two     Save    $19,970   12,885 mi",Certified 2015 Toyota Prius Two,19970,"12,885",1,2015,Two
"Used 2015 Toyota Prius      Save    $23,999   12,900 mi",Used 2015 Toyota Prius,23999,"12,900",0,2015,
"Certified 2014 Toyota Prius Two     Save    $17,976   12,917 mi",Certified 2014 Toyota Prius Two,17976,"12,917",1,2014,Two
"Certified 2010 Toyota Prius III     Save    $18,000   12,935 mi",Certified 2010 Toyota Prius III,18000,"12,935",1,2010,III
"Certified 2013 Toyota Prius Three     Save    $18,995   12,946 mi",Certified 2013 Toyota Prius Three,18995,"12,946",1,2013,Three
"Used 2012 Toyota Prius Four     Save    $20,388   12,949 mi",Used 2012 Toyota Prius Four,20388,"12,949",0,2012,Four
"Used 2013 Toyota Prius Four     Save    $17,995   12,974 mi",Used 2013 Toyota Prius Four,17995,"12,974",0,2013,Four
"Used 2014 Toyota Prius Five     Save    $29,750   125 mi",Used 2014 Toyota Prius Five,29750,125,0,2014,Five
"Used 2015 Toyota Prius Three     Save    $19,998   13,010 mi",Used 2015 Toyota Prius Three,19998,"13,010",0,2015,Three
"Used 2012 Toyota Prius Two     Save    $18,500   13,033 mi",Used 2012 Toyota Prius Two,18500,"13,033",0,2012,Two
"Used 2012 Toyota Prius Four     Save    $20,990   13,049 mi",Used 2012 Toyota Prius Four,20990,"13,049",0,2012,Four
"Used 2015 Toyota Prius Persona Series Special Edition     Save    $21,500   13,050 mi",Used 2015 Toyota Prius Persona Series Special Edition,21500,"13,050",0,2015,Persona
"Used 2012 Toyota Prius Four     Save    $19,000   13,109 mi",Used 2012 Toyota Prius Four,19000,"13,109",0,2012,Four
"Used 2015 Toyota Prius      Save    $20,997   13,120 mi",Used 2015 Toyota Prius,20997,"13,120",0,2015,
"Certified 2015 Toyota Prius Four     Save    $24,981   13,150 mi",Certified 2015 Toyota Prius Four,24981,"13,150",1,2015,Four
